id,name,price,dist_to_coast,X,Y
7027195,Harbourside Accommodation Unit 907,1700,30.60734311271318,333412.9746161765,6250805.483564289
7921725,Delightful semi dynamic Inner West,410,270.4581420366652,331148.65274406533,6250231.949039407
7581942,Sydney Neutral Bay 2BR Garden Unit,190,468.160820989596,335829.1053589694,6254768.847929917
7638582,Sunny two bedroom beach apartment in Manly,140,319.30952374930405,341701.09369335906,6258374.628590697
8317223,Lane Cove Harbourview House,160,138.53106557620833,328686.55842157477,6255413.963432122
8020784,Relax in a Luxe Open-Plan Beachfront Apartment,360,42.92940686954825,341618.4732341608,6260276.710312772
8193171,"A1 Fantastic Apartment, Minutes from City Parking Included",520,1103.3173408743057,334876.5251745141,6249972.422286188
8723030,Designer Apartment in Bondi Beach,230,1133.536009307983,339390.390488232,6248679.830955727
8474401,Stunning Unit City Harbour Views + Parking +BBQ,1100,594.7120130256048,335102.96642055066,6250429.168917479
8245430,Elegant Apartment with Bridge and Opera House Views,530,876.64099226522535,335419.1979628897,6250051.721505125
8741100,Stylish Watsons Bay flat close to harbour beaches,390,8.372734551308012,341000.0350416822,6253659.743417515
8747750,Beautiful art deco 2 bd apt close to the beach,260,665.9720689269378,340116.42137099867,6248909.495239348
8974359,Camelot Hall: Art Deco Potts Point Penthouse,660,163.23415348714275,335724.2189620218,6250996.0144979935
8977284,"Cozy loft-style studioCentral,Broadway,Darling hbr",180,1113.0183393076477,333101.9540825004,6249178.2168812
8596993,Beautiful Bondi Junction Terrace,330,2057.746555002869,338111.1362113845,6248182.233901453
9164562,"Yes, it's true! Freshwater, 2 mins from beach #1",210,480.1230790251077,341453.0001833652,6261149.149329942
9097525,Manly Vale Sunny Apartment,160,1411.965349946485,340152.282552121,6260332.11282233
9097988,Bondi Beach Surf Side Apartment,350,161.40254420988063,340314.80016705533,6247949.988901028
9240361,Expansive Harbour Views,1000,56.14670456971407,336085.28639933304,6250861.9219239205
9496810,Bondi's Best Kept Secret - Fun space-hear the surf,330,224.85186353497517,340271.6959478669,6248422.920965338
9302572,Harbour View,330,290.5206720405607,340083.35717091453,6259029.809181412
9315724,"Stylish, Modern Retreat in Central Sydney with Car Space",300,325.30908698440095,336030.11712426005,6250305.216282994
9599285,Sydney Haven - private sanctuary - 15 mins to CBD,360,591.0331798304362,330957.9762879241,6251588.589042204
9563497,Modern Beachside Family Apartment - Freshwater,270,386.31084676050637,341317.5560769246,6260827.436637247
9615165,Stylish parkside retreat,290,2348.1103045420496,337139.50588592386,6246906.580405386
9801139,Balmoral Beach escape,430,74.28648567208838,338170.4013763087,6255683.043507479
9810515,"Big 2bdm, Views, WIFI and carpark",660,239.84222400631506,335414.57368161477,6250692.813448947
9685977,Darling Harbour Getaway,2300,109.63529326003001,333330.2359736984,6250716.508930523
9830174,2 Level Skyhome Near Beach/Hospital,420,1495.4804180323952,337457.790781743,6245280.272074832
10042868,The Beach Pad Bondi Beach,340,425.78576548877544,340509.115403873,6248882.81835974
10047153,Sydney-style studio unit,100,2948.7094315437153,333047.3398513986,6247232.630901031
9979246,Surfside Swell,460,300.78990416349313,339700.4178959141,6246919.10817626
10273575,Executive Coastal Living,410,330.78041779751135,338763.3096743467,6244642.5244673295
10302621,"Comfortable Home, Pet friendly",230,1833.9287917156214,329041.11767357355,6242972.45019009
10839366,"Harbour Icons on display, Firework Extravaganza!",380,178.90136031479807,336577.8836687788,6254182.721765777
10575238,A Provincial Abode in Woollahra,400,1197.736305382047,337032.1244400802,6249229.804695262
10388137,"Breathtaking views, treetop seclusion",520,407.02176913861746,340071.6278235812,6248053.495903214
10656719,"New Y Style Apartment, near Restaurants, Theater & Transport",420,1937.5696301536411,332301.120219729,6248213.429937569
11023378,Vintage Suite to Opera House （2 bedrooms ）,1200,410.88413727763907,334164.7534061588,6251472.006539749
11148586,2Br 2Ba Oasis in trendy Erko,290,3270.225209979405,332140.4135827896,6246890.499550451
11047921,MOSMAN Muston St Long/Short term lets L'Abode,240,722.589506228183,337720.64511996985,6255183.982010242
11181299,Beautiful modern historic home near Sydney harbour,590,180.9755380636978,334690.1921012008,6254092.436066482
11063067,Mini Manhattan: Potts Point Harbourview Retreat,360,272.38897157633005,335823.06918095355,6250828.555324614
11209774,Beautiful One Darling Harbour Apt,1300,66.64914101000687,333402.13075667154,6250632.241679585
10751047,Lovely renovated inner city terrace close to CBD.,170,2891.484167321695,332906.10063510045,6247268.97234108
11111400,"Top floor apartment, city views",630,578.6916109700327,333632.2357686394,6254512.172923097
11302154,2 Bedroom Apartment on  Oxford,240,1287.8147163854019,334991.02569907904,6249719.272586014
