id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1151506,PERFECT   LOCATION IN WOOLLAHRA,6311428,Jill,,Woollahra,-33.88639,151.24456,Entire home/apt,313,7,52,2022-07-29,0.49,1,339,11,PID-STRA-9234-3
789945,Double room in Hornsby Sydney (Room 3),4099655,Hong,,Hornsby,-33.68142,151.1046,Private room,86,90,96,2020-03-21,0.82,4,364,0,
1164589,Pittwater Boat House,6379641,Tony,,Pittwater,-33.63822,151.30944,Entire home/apt,411,2,315,2022-09-07,2.84,1,255,67,PID-STRA-20737
790402,Queen bed large room in Hornsby Sydney--(Room 1),4099655,Hong,,Hornsby,-33.68324,151.10251,Private room,95,90,29,2019-07-15,0.24,4,365,0,
290146,"Bellevue Hill Designer, Beaches, City and Views",113874,Bondi Beach Holiday Homes,,Woollahra,-33.88596,151.25758,Entire home/apt,259,2,34,2022-07-28,0.33,35,95,5,PID-STRA-18604
1180717,One bedroom apartment with bush vie,6459849,Jill,,Lane Cove,-33.80813,151.16114,Entire home/apt,130,7,2,2014-01-05,0.02,1,188,0,Exempt
290929,STYLISH 2 BED + PARKING PADDINGTON,1508328,Edwina,,Woollahra,-33.88401,151.23598,Entire home/apt,240,90,6,2013-03-12,0.05,1,0,0,
791521,"Great Location, Gorgeous View",4170245,Irmke,,Sydney,-33.87018,151.22167,Entire home/apt,250,90,25,2020-01-03,0.22,2,0,0,
1180925,Renovated art deco home in Coogee,5218299,Kristie,,Randwick,-33.92158,151.24601,Entire home/apt,350,90,2,2014-01-14,0.02,1,0,0,
792905,Comfy Room in Great Flat 1 Block from Manly Cove,589492,Kat,,Manly,-33.80447,151.28594,Private room,89,90,0,,,1,88,0,
299749,Beachy Art Deco Apartment near Manly & 11k to CBD,1544990,Lucy,,Manly,-33.79568,151.25972,Entire home/apt,120,90,7,2018-02-17,0.12,2,0,0,
1181214,Huge amazing art-filled Annandale warehouse,6462282,Jessie,,Leichhardt,-33.885799407958984,151.17166137695312,Entire home/apt,300,2,17,2018-08-18,0.23,1,205,0,PID-STRA-39375
304762,"Bondi Beach: Bright, happy haven",11987452,Emily,,Waverley,-33.89414,151.27069,Entire home/apt,143,21,41,2022-06-23,0.34,5,36,12,PID-STRA-25909
793020,"Sunny Single Room near beach, shops & restaurants",4178584,Sheena,,Randwick,-33.94381,151.23955,Private room,52,2,43,2020-12-15,0.36,1,42,0,PID-STRA-27946
798517,Private Rooms (3) and Living Space/Bathroom,4214125,Michelle,,Penrith,-33.79721,150.77496,Private room,120,90,4,2018-02-14,0.04,1,365,0,
1184688,Manly - Gorgeous Large Art Deco Apartment,6479860,Pip,,Manly,-33.79571,151.28174,Entire home/apt,395,3,20,2018-05-28,0.21,1,242,0,PID-STRA-5998
800345,"Great Location, Gorgeous View 1 roo",4170245,Irmke,,Sydney,-33.86877,151.22336,Private room,600,90,0,,,2,0,0,
329096,Funky Victorian Terrace in Newtown,1437903,Ruth,,Marrickville,-33.89498,151.17343,Entire home/apt,200,90,1,2013-01-05,0.01,1,0,0,
1188276,Spacious and bright art deco close to the  beach,6496994,Grisel,,Waverley,-33.88612,151.26979,Entire home/apt,200,4,16,2022-05-22,0.16,2,0,2,PID-STRA-9999
340563,Resort Style minutes from the City,1727971,Gregory,,North Sydney,-33.83655,151.19656,Private room,135,3,12,2022-07-03,0.11,1,351,4,PID-STRA-9088
1211041,Beautiful and homely home in Maroubra!,6613002,Li,,Randwick,-33.9406,151.23635,Entire home/apt,100,200,17,2019-07-21,0.16,2,0,0,
352147,"Sydneys garden suburb, bright & SC",1783493,Michelle,,The Hills Shire,-33.76058,151.01361,Private room,80,2,22,2019-11-09,0.18,1,193,0,PID-STRA-14039
803334,Private Maroubra RM w/ Ensuite #,4228177,Kasia,,Randwick,-33.94893,151.24251,Private room,75,90,13,2021-04-29,0.12,1,364,0,
1218594,BONDI HAVEN- CHIC 2 BEDROOM APARTMENT,6266484,Ritchi,,Waverley,-33.88665,151.26995,Entire home/apt,194,3,111,2022-09-04,1.01,1,21,23,PID-STRA-23744
804527,180° Ocean views beach pad,4234893,Sophie,,Waverley,-33.89921,151.26307,Entire home/apt,200,90,9,2017-01-03,0.08,1,0,0,
